-0.0314159, 1.65301, 
0.0314159, 1.48197, 
0.0942478, 1.33433, 
0.15708, 1.23154, 
0.219912, 1.17185, 
0.282744, 1.14387, 
0.345575, 1.13625, 
0.408407, 1.14079, 
0.471239, 1.15232, 
0.534071, 1.16777, 
0.596903, 1.18542, 
0.659735, 1.20428, 
0.722567, 1.22382, 
0.785399, 1.24373, 
0.848231, 1.26385, 
0.911063, 1.28408, 
0.973894, 1.30438, 
1.03673, 1.32471, 
1.09956, 1.34507, 
1.16239, 1.36543, 
1.22522, 1.3858, 
1.28805, 1.40618, 
1.35089, 1.42656, 
1.41372, 1.44693, 
1.47655, 1.46731, 
1.53938, 1.48769, 
1.60221, 1.50807, 
1.66505, 1.52845, 
1.72788, 1.54883, 
1.79071, 1.56921, 
1.85354, 1.58959, 
1.91637, 1.60997, 
1.9792, 1.63035, 
2.04204, 1.65072, 
2.10487, 1.6711, 
2.1677, 1.69148, 
2.23053, 1.71186, 
2.29336, 1.73224, 
2.3562, 1.75262, 
2.41903, 1.77301, 
2.48186, 1.7934, 
2.54469, 1.8138, 
2.60752, 1.83418, 
2.67036, 1.85437, 
2.73319, 1.87379, 
2.79602, 1.89054, 
2.85885, 1.89957, 
2.92168, 1.88979, 
2.98452, 1.84381, 
3.04735, 1.74794, 
3.11018, 1.61011, 
3.17301, 1.46202, 
3.23584, 1.33674, 
3.29867, 1.24942, 
3.36151, 1.19819, 
3.42434, 1.17402, 
3.48717, 1.16776, 
3.55, 1.17256, 
3.61283, 1.18394, 
3.67567, 1.19915, 
3.7385, 1.21656, 
3.80133, 1.23524, 
3.86416, 1.25465, 
3.92699, 1.27447, 
3.98983, 1.29453, 
4.05266, 1.31472, 
4.11549, 1.33499, 
4.17832, 1.35531, 
4.24115, 1.37565, 
4.30399, 1.39601, 
4.36682, 1.41638, 
4.42965, 1.43675, 
4.49248, 1.45713, 
4.55531, 1.4775, 
4.61814, 1.49788, 
4.68098, 1.51826, 
4.74381, 1.53864, 
4.80664, 1.55902, 
4.86947, 1.5794, 
4.9323, 1.59978, 
4.99514, 1.62016, 
5.05797, 1.64053, 
5.1208, 1.66091, 
5.18363, 1.68129, 
5.24646, 1.70167, 
5.3093, 1.72205, 
5.37213, 1.74243, 
5.43496, 1.76281, 
5.49779, 1.78319, 
5.56062, 1.80357, 
5.62346, 1.82396, 
5.68629, 1.84436, 
5.74912, 1.8648, 
5.81195, 1.88524, 
5.87478, 1.90546, 
5.93761, 1.92435, 
6.00045, 1.93807, 
6.06328, 1.93623, 
6.12611, 1.89872, 
6.18894, 1.80386, 
6.25177, 1.65301, 
6.31461, 1.48197, 
